Level	Test String	String Length	Legal Entry	Min Levenshtein	Mean Levenshtein	Global Bigram ACS	Global Trigram ACS	Global ACS	Anchor Bigram ACS	Anchor Trigram ACS	Anchor ACS	Bigram Novelty	Trigram Novelty	Chunk Novelty	Bigram NCP	Trigram NCP	NCP	First-Order Redundancy	Analogical Similarity
1	VSPV	4.00	1.00	2.00	3.20	0.67	0.00	0.67	1.00	0.00	1.00	2.00	2.00	4.00	0.67	1.00	1.67	0.00	0.00
1	TPST	4.00	1.00	2.00	2.80	0.67	0.00	0.67	0.50	0.00	0.50	1.00	2.00	3.00	0.33	1.00	1.33	0.00	0.00
1	TST	3.00	1.00	2.00	3.00	1.00	0.00	1.00	1.00	0.00	1.00	1.00	1.00	2.00	0.50	1.00	1.50	0.00	0.00
1	VSV	3.00	1.00	2.00	2.80	1.00	0.00	1.00	1.00	0.00	1.00	1.00	1.00	2.00	0.50	1.00	1.50	0.00	0.00
1	VSVP	4.00	1.00	2.00	2.80	1.00	0.00	1.00	1.00	0.00	1.00	1.00	2.00	3.00	0.33	1.00	1.33	0.00	2.00
1	VSXV	4.00	1.00	2.00	3.20	1.00	0.00	1.00	1.00	0.00	1.00	1.00	2.00	3.00	0.33	1.00	1.33	0.00	0.00
1	TSTP	4.00	1.00	2.00	3.20	1.00	0.00	1.00	1.50	0.00	1.50	1.00	2.00	3.00	0.33	1.00	1.33	0.00	2.00
1	TSPT	4.00	1.00	2.00	3.20	1.00	0.00	1.00	1.00	0.00	1.00	1.00	2.00	3.00	0.33	1.00	1.33	0.00	0.00
1	VSVX	4.00	1.00	2.00	3.00	1.00	0.00	1.00	1.50	0.00	1.50	1.00	2.00	3.00	0.33	1.00	1.33	0.00	2.00
1	VPSV	4.00	1.00	2.00	2.60	0.67	0.50	1.17	0.00	0.50	0.50	1.00	1.00	2.00	0.33	0.50	0.83	0.00	0.00
1	TTSP	4.00	1.00	1.00	2.80	1.00	0.50	1.50	0.50	1.00	1.50	1.00	1.00	2.00	0.33	0.50	0.83	0.00	1.00
							MW	1.00											
							SA	0.21											
																			
2	VVSP	4.00	1.00	2.00	3.29	1.33	0.00	1.33	0.50	0.00	0.50	1.00	2.00	3.00	0.33	1.00	1.33	0.00	1.00
2	VVSX	4.00	1.00	2.00	3.29	1.33	0.00	1.33	0.50	0.00	0.50	1.00	2.00	3.00	0.33	1.00	1.33	0.00	1.00
2	TSTP	4.00	1.00	2.00	3.71	1.33	0.00	1.33	2.00	0.00	2.00	1.00	2.00	3.00	0.33	1.00	1.33	0.00	2.00
2	TSPT	4.00	1.00	2.00	3.43	1.33	0.00	1.33	1.00	0.00	1.00	1.00	2.00	3.00	0.33	1.00	1.33	0.00	0.00
2	TPST	4.00	1.00	2.00	3.43	1.33	0.00	1.33	1.00	0.00	1.00	1.00	2.00	3.00	0.33	1.00	1.33	0.00	0.00
2	PVVS	4.00	0.00	2.00	2.71	1.33	0.00	1.33	1.50	0.00	1.50	1.00	2.00	3.00	0.33	1.00	1.33	0.00	0.00
2	VXPVS	5.00	1.00	1.00	2.14	1.50	0.00	1.50	3.00	0.00	3.00	2.00	3.00	5.00	0.50	1.00	1.50	0.00	0.00
2	VVXXS	5.00	1.00	2.00	2.86	1.25	0.33	1.58	0.50	0.00	0.50	1.00	2.00	3.00	0.25	0.67	0.92	0.00	0.00
2	VSVP	4.00	1.00	2.00	3.14	1.67	0.00	1.67	1.50	0.00	1.50	1.00	2.00	3.00	0.33	1.00	1.33	0.00	2.00
2	PTTS	4.00	0.00	2.00	3.00	1.67	0.00	1.67	1.00	0.00	1.00	0.00	2.00	2.00	0.00	1.00	1.00	0.00	0.00
2	TTPPS	5.00	1.00	2.00	2.86	1.50	0.33	1.83	1.50	0.00	1.50	0.00	2.00	2.00	0.00	0.67	0.67	0.00	0.00
							MW	1.48											
							SA	0.17											
																			
3	TVXPTS	6.00	1.00	2.00	3.18	1.80	0.50	2.30	1.00	1.00	2.00	2.00	3.00	5.00	0.40	0.75	1.15	0.00	0.00
3	VXPVS	5.00	1.00	1.00	2.73	2.50	0.00	2.50	5.00	0.00	5.00	2.00	3.00	5.00	0.50	1.00	1.50	0.00	0.00
3	TXTVS	5.00	1.00	2.00	2.82	2.50	0.00	2.50	3.00	0.00	3.00	2.00	3.00	5.00	0.50	1.00	1.50	0.00	1.00
3	VVPXXS	6.00	1.00	1.00	3.55	2.20	0.50	2.70	0.50	0.50	1.00	1.00	2.00	3.00	0.20	0.50	0.70	0.00	0.00
3	TVXXTS	6.00	1.00	2.00	2.82	2.20	0.75	2.95	1.00	0.00	1.00	2.00	3.00	5.00	0.40	0.75	1.15	0.00	0.00
3	TXTVPS	6.00	1.00	2.00	3.18	2.20	0.75	2.95	1.50	1.50	3.00	2.00	3.00	5.00	0.40	0.75	1.15	0.00	1.00
3	TTVXXS	6.00	1.00	2.00	3.36	2.40	0.75	3.15	1.50	0.00	1.50	2.00	3.00	5.00	0.40	0.75	1.15	0.00	0.00
3	TXXTVS	6.00	1.00	2.00	2.91	3.00	0.25	3.25	3.00	0.00	3.00	2.00	3.00	5.00	0.40	0.75	1.15	0.00	1.00
3	TPTPS	5.00	1.00	2.00	3.27	3.00	0.33	3.33	3.00	0.50	3.50	0.00	2.00	2.00	0.00	0.67	0.67	0.25	0.00
3	VVXXS	5.00	1.00	2.00	3.18	2.50	1.00	3.50	0.50	0.00	0.50	1.00	2.00	3.00	0.25	0.67	0.92	0.00	0.00
							MW	2.91											
							SA	0.38											
																			
4	TXTVPS	6.00	1.00	2.00	3.56	4.80	1.50	6.30	3.00	3.00	6.00	2.00	3.00	5.00	0.40	0.75	1.15	0.00	1.00
4	TPTXPVS	7.00	1.00	1.00	3.28	5.00	1.40	6.40	8.00	1.50	9.50	2.00	3.00	5.00	0.33	0.60	0.93	0.00	0.00
4	TTPXVXS	7.00	1.00	2.00	3.33	6.00	0.60	6.60	2.00	0.00	2.00	1.00	4.00	5.00	0.17	0.80	0.97	0.00	0.00
4	TXVTPXS	7.00	1.00	3.00	4.22	5.83	0.80	6.63	0.00	0.00	0.00	2.00	4.00	6.00	0.33	0.80	1.13	0.00	0.00
4	VVPVXXS	7.00	1.00	2.00	4.17	5.33	1.40	6.73	1.50	1.50	3.00	2.00	3.00	5.00	0.33	0.60	0.93	0.00	0.00
4	VXVXPS	6.00	1.00	2.00	3.56	6.60	0.25	6.85	5.50	0.50	6.00	1.00	3.00	4.00	0.20	0.75	0.95	0.17	0.00
4	TTPPPS	6.00	1.00	2.00	3.83	5.60	1.50	7.10	5.00	0.00	5.00	0.00	2.00	2.00	0.00	0.50	0.50	0.17	0.00
4	VXPXVVS	7.00	1.00	2.00	3.22	6.50	0.60	7.10	7.50	0.00	7.50	1.00	4.00	5.00	0.17	0.80	0.97	0.00	0.00
4	TXTXVXS	7.00	1.00	2.00	3.39	6.33	0.80	7.13	0.00	0.00	0.00	2.00	4.00	6.00	0.33	0.80	1.13	0.13	0.00
4	TXVXTXS	7.00	1.00	4.00	4.22	6.33	0.80	7.13	0.00	0.00	0.00	2.00	4.00	6.00	0.33	0.80	1.13	0.13	0.00
							MW	6.80											
							SA	0.297811462											
